2026-04-11 13:43:47 | INFO     | genui.api | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | chat request received len=31
2026-04-11 13:45:41 | WARNING  | genui.gemini | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | parsed tool_call name=show_widget has_signature=False
2026-04-11 13:45:41 | WARNING  | genui.gemini | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | show_widget args title=Quick Sort Interactive Visualization widget_len=6105 preview=<div style="display: flex; align-items: center; gap: 12px; margin-bottom: 1.5rem;">\n  <button id="btn-generate">Generate New Array</button>\n  <button id="btn-sort">Start Sort</butt
2026-04-11 13:45:41 | WARNING  | genui.agent | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | provider response finish_reason=stop has_tool_calls=True content_len=267
2026-04-11 13:45:41 | WARNING  | genui.agent | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | tool call name=show_widget id=539910e5-f1c0-4045-9cee-26248d31c87c
2026-04-11 13:45:41 | WARNING  | genui.agent | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | tool execution name=show_widget events=11 content_len=65
2026-04-11 13:45:56 | INFO     | httpx | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3.1-pro-preview:generateContent "HTTP/1.1 200 OK"
2026-04-11 13:45:56 | WARNING  | genui.gemini | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | candidate parts_count=1
2026-04-11 13:45:56 | WARNING  | genui.gemini | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | function_call keys=args,id,name,partial_args,will_continue
2026-04-11 13:45:56 | WARNING  | genui.gemini | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | parsed tool_call name=show_widget has_signature=False
2026-04-11 13:45:56 | WARNING  | genui.gemini | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | show_widget args title=Quick Sort Interactive Visualization widget_len=6105 preview=<div style="display: flex; align-items: center; gap: 12px; margin-bottom: 1.5rem;">\n  <button id="btn-generate">Generate New Array</button>\n  <button id="btn-sort">Start Sort</butt
2026-04-11 13:45:56 | WARNING  | genui.agent | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | provider response finish_reason=stop has_tool_calls=True content_len=0
2026-04-11 13:45:56 | WARNING  | genui.agent | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | tool call name=show_widget id=c87816b9-55c1-4bd7-b00e-12cbb4b038f4
2026-04-11 13:45:56 | WARNING  | genui.agent | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | tool execution name=show_widget events=11 content_len=65
2026-04-11 13:46:09 | INFO     | httpx | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3.1-pro-preview:generateContent "HTTP/1.1 200 OK"
2026-04-11 13:46:09 | WARNING  | genui.gemini | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | candidate parts_count=1
2026-04-11 13:46:09 | WARNING  | genui.gemini | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | function_call keys=args,id,name,partial_args,will_continue
2026-04-11 13:46:09 | WARNING  | genui.gemini | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | parsed tool_call name=show_widget has_signature=False
2026-04-11 13:46:09 | WARNING  | genui.gemini | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | show_widget args title=Quick Sort Interactive Visualization widget_len=6105 preview=<div style="display: flex; align-items: center; gap: 12px; margin-bottom: 1.5rem;">\n  <button id="btn-generate">Generate New Array</button>\n  <button id="btn-sort">Start Sort</butt
2026-04-11 13:46:09 | WARNING  | genui.agent | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | provider response finish_reason=stop has_tool_calls=True content_len=0
2026-04-11 13:46:09 | WARNING  | genui.agent | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | tool call name=show_widget id=7b74865b-7021-4a80-baba-ffe5863432c1
2026-04-11 13:46:09 | WARNING  | genui.agent | sid=9158aeee-3fbd-415f-a318-4a70234c2e1b | tool execution name=show_widget events=11 content_len=65
